,Comportementale,Désignée,Montrée,Suggérée
Colère,0.06857142857142867,-0.19757688723205968,0.044044044044043995,0.01711229946524065
Dégoût,-0.3714285714285714,0.056795131845841784,0.11447811447811446,0.004040404040404066
Joie,0.12857142857142861,0.35543766578249336,0.10962962962962952,0.14545454545454542
Peur,,,,
Surprise,-0.3714285714285714,0.5862068965517241,0.2962962962962962,-0.21818181818181817
Tristesse,0.6285714285714286,0.08620689655172409,0.3569023569023568,0.08951048951048954
Admiration,,,,
Culpabilité,,,,
Embarras,,,,
Fierté,,,,
Jalousie,-0.3714285714285714,-0.1280788177339902,-0.3703703703703704,-0.21818181818181817
Autre,-0.3714285714285714,-0.4137931034482759,0.010582010582010581,0.004040404040404066
