,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre
Comportementale,0.21158059467918627,0.0,0.6086956521739131,0.22222222222222215,-0.4444444444444445,-0.12903225806451615,0.0,0.0,0.0,-0.8571428571428571,0.0,0.1824884792626728
Désignée,-0.18437900128040974,0.0,0.21739130434782616,0.055555555555555525,0.5555555555555556,0.12096774193548385,0.0,0.0,0.0,0.1428571428571429,0.0,0.2497153700189753
Montrée,0.02030588438607106,0.0,-0.2860411899313501,0.055555555555555525,-0.4444444444444445,0.037634408602150504,0.0,0.0,0.0,-0.8571428571428571,0.0,-0.035043988269794726
Suggérée,0.12503088707684706,0.0,0.10869565217391308,-0.4444444444444445,-0.4444444444444445,-0.12903225806451615,0.0,0.0,0.0,0.1428571428571429,0.0,-0.0032258064516128837
