,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre
Comportementale,0.11566059831789632,0.0,-0.3111111111111111,-0.0714285714285714,-0.22222222222222224,0.16806722689075634,0.0,0.0,-0.0909090909090909,-0.6666666666666665,0.0,0.057029926595143984
Désignée,-0.03209263854425143,0.0,0.546031746031746,0.4285714285714286,0.7777777777777778,0.06417112299465241,0.0,0.0,0.30909090909090914,0.13333333333333353,0.0,0.23094297007340486
Montrée,-0.0025068397276833965,0.0,-0.3111111111111111,-0.23809523809523808,-0.22222222222222224,0.00735294117647059,0.0,0.0,0.13131313131313133,-0.6666666666666665,0.0,-0.06688311688311688
Suggérée,0.0909842845326716,0.0,-0.061111111111111116,-0.0714285714285714,0.2777777777777778,-0.11764705882352941,0.0,0.0,-0.0909090909090909,1.1102230246251565e-16,0.0,-0.03354978354978354
