,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre
Comportementale,0.20721925133689834,0.0,0.5833333333333333,0.303030303030303,-0.4000000000000001,-0.11764705882352941,0.0,0.0,0.04830917874396137,-0.7499999999999999,0.0,0.1824884792626728
Désignée,-0.1477591036414566,0.0,0.24999999999999994,0.13636363636363635,0.5999999999999999,0.0823529411764706,0.0,0.0,0.39751552795031064,0.2500000000000001,0.0,0.2497153700189753
Montrée,0.010971055088702109,0.0,-0.31666666666666665,0.036363636363636376,-0.4000000000000001,0.036199095022624445,0.0,0.0,-0.17391304347826084,-0.7499999999999999,0.0,-0.03581007611453425
Suggérée,0.15299277605779155,0.0,0.08333333333333331,-0.36363636363636365,-0.4000000000000001,-0.11764705882352941,0.0,0.0,-0.17391304347826084,-0.08333333333333326,0.0,-0.0032258064516128837
