density_bin,length_bin,mean_error,n
2+,short,0.1726,14
2+,long,0.1618,51
2+,medium,0.1522,23
1,long,0.0886,126
1,short,0.0855,77
1,medium,0.0849,107
0,long,0.0384,63
0,medium,0.0187,147
0,short,0.0058,173
