_d_bin,short,medium,long
0,0.005780346820809248,0.01870748299319728,0.03835978835978836
1,0.08549783549783549,0.08489096573208722,0.08862433862433862
2+,0.17261904761904762,0.15217391304347827,0.16176470588235295
