_d_bin,short,medium,long
0,0.005780346820809248,0.018835616438356163,0.03835978835978836
1,0.08766233766233766,0.09259259259259259,0.09259259259259259
2+,0.17261904761904762,0.15579710144927536,0.16830065359477125
