mode,threshold,f1,precision,recall,violation_rate
Comportementale,0.05,0.3662,0.3714,0.3611,0.3393
Comportementale,0.06,0.3714,0.3824,0.3611,0.3393
Comportementale,0.07,0.3636,0.4,0.3333,0.3393
Comportementale,0.08,0.3636,0.4,0.3333,0.3393
Comportementale,0.09,0.3692,0.4138,0.3333,0.3393
Comportementale,0.1,0.375,0.4286,0.3333,0.3393
Comportementale,0.11,0.375,0.4286,0.3333,0.3393
Comportementale,0.12,0.375,0.4286,0.3333,0.3393
Comportementale,0.13,0.375,0.4286,0.3333,0.3393
Comportementale,0.14,0.375,0.4286,0.3333,0.3393
Comportementale,0.15,0.375,0.4286,0.3333,0.3393
Comportementale,0.16,0.375,0.4286,0.3333,0.3393
Comportementale,0.17,0.375,0.4286,0.3333,0.3393
Comportementale,0.18,0.381,0.4444,0.3333,0.3393
Comportementale,0.19,0.381,0.4444,0.3333,0.3393
Comportementale,0.2,0.381,0.4444,0.3333,0.3393
Comportementale,0.21,0.381,0.4444,0.3333,0.3393
Comportementale,0.22,0.381,0.4444,0.3333,0.3393
Comportementale,0.23,0.381,0.4444,0.3333,0.3393
Comportementale,0.24,0.381,0.4444,0.3333,0.3393
Comportementale,0.25,0.381,0.4444,0.3333,0.3393
Comportementale,0.26,0.381,0.4444,0.3333,0.3393
Comportementale,0.27,0.381,0.4444,0.3333,0.3393
Comportementale,0.28,0.381,0.4444,0.3333,0.3393
Comportementale,0.29,0.3548,0.4231,0.3056,0.3393
Comportementale,0.3,0.3607,0.44,0.3056,0.3393
Comportementale,0.31,0.3607,0.44,0.3056,0.3393
Comportementale,0.32,0.3607,0.44,0.3056,0.3393
Comportementale,0.33,0.3729,0.4783,0.3056,0.3393
Comportementale,0.34,0.3729,0.4783,0.3056,0.3393
Comportementale,0.35,0.3729,0.4783,0.3056,0.3393
Comportementale,0.36,0.3448,0.4545,0.2778,0.3393
Comportementale,0.37,0.3509,0.4762,0.2778,0.3393
Comportementale,0.38,0.3509,0.4762,0.2778,0.3393
Comportementale,0.39,0.3509,0.4762,0.2778,0.3393
Comportementale,0.4,0.3509,0.4762,0.2778,0.3393
Comportementale,0.41,0.3509,0.4762,0.2778,0.3393
Comportementale,0.42,0.3214,0.45,0.25,0.3393
Comportementale,0.43,0.3214,0.45,0.25,0.3393
Comportementale,0.44,0.3214,0.45,0.25,0.3393
Comportementale,0.45,0.2909,0.4211,0.2222,0.3393
Comportementale,0.46,0.2909,0.4211,0.2222,0.3393
Comportementale,0.47,0.2909,0.4211,0.2222,0.3393
Comportementale,0.48,0.2909,0.4211,0.2222,0.3393
Comportementale,0.49,0.2909,0.4211,0.2222,0.3393
Comportementale,0.5,0.2909,0.4211,0.2222,0.3393
Comportementale,0.51,0.2593,0.3889,0.1944,0.3393
Comportementale,0.52,0.2593,0.3889,0.1944,0.3393
Comportementale,0.53,0.2593,0.3889,0.1944,0.3393
Comportementale,0.54,0.2642,0.4118,0.1944,0.3393
Comportementale,0.55,0.2642,0.4118,0.1944,0.3393
Comportementale,0.56,0.2642,0.4118,0.1944,0.3393
Comportementale,0.57,0.2642,0.4118,0.1944,0.3393
Comportementale,0.58,0.2642,0.4118,0.1944,0.3393
Comportementale,0.59,0.2642,0.4118,0.1944,0.3393
